rgi_id,lake_terminating_level,image_id,image_date,inventory_doi,contributor,comments,,,,,,,
RGI2000-v7.0-G-14-00124,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00125,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00126,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00127,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00128,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00129,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00130,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00131,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00132,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00133,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00134,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00135,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00136,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00137,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00138,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00139,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00140,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00141,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00142,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00143,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00144,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00145,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00146,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00147,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00148,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00149,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00150,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00151,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00217,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00218,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00219,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00220,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00221,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00222,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00854,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00855,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00856,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00857,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00858,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00859,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00860,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01376,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01377,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01378,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01379,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01380,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01381,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01382,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01383,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01384,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01385,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01386,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01387,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01388,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01389,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01390,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01444,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01445,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01446,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-01447,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
