rgi_id,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-04-01542,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00647,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02002,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03226,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00670,2.0,LE07_L1TP_026011_20000812_20200917_02_T1,2000-08-12,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00671,2.0,LE07_L1TP_025011_20000805_20200917_02_T1,2000-08-05,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03266,2.0,LE07_L1TP_025011_20000805_20200917_02_T1,2000-08-05,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03267,3.0,LE07_L1TP_025011_20000805_20200917_02_T1,2000-08-05,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02335,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02326,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02265,3.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02990,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02087,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02086,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02100,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02992,3.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02986,3.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02937,3.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02949,3.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02944,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02956,3.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02966,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02008,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03060,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03039,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01718,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
