file,buffer,inventory,manual,region,nglac,agree,fpos,fneg
12_caucasus_middle_east_global_zhang2024_automated.csv,500,zhang2024,11.0,12,32.0,0.2727272727272727,2.6363636363636362,0.7272727272727273
13_central_asia_global_shugar2020_automated.csv,500,shugar2020,715.0,13,584.0,0.24055944055944056,0.5762237762237762,0.7594405594405594
13_central_asia_global_song2025_automated.csv,500,song2025,715.0,13,2907.0,0.7454545454545455,3.32027972027972,0.2545454545454545
13_central_asia_global_zhang2024_automated.csv,500,zhang2024,715.0,13,2546.0,0.6195804195804195,2.9412587412587414,0.3804195804195804
14_south_asia_west_global_shugar2020_automated.csv,500,shugar2020,337.0,14,242.0,0.2166172106824926,0.5014836795252225,0.7833827893175074
14_south_asia_west_global_song2025_automated.csv,500,song2025,337.0,14,1088.0,0.8041543026706232,2.4243323442136497,0.19584569732937684
14_south_asia_west_global_zhang2024_automated.csv,500,zhang2024,337.0,14,974.0,0.6617210682492581,2.228486646884273,0.33827893175074186
15_south_asia_east_global_shugar2020_automated.csv,500,shugar2020,420.0,15,691.0,0.5476190476190477,1.0976190476190477,0.4523809523809524
15_south_asia_east_global_song2025_automated.csv,500,song2025,420.0,15,1450.0,0.7952380952380952,2.657142857142857,0.20476190476190476
15_south_asia_east_global_zhang2024_automated.csv,500,zhang2024,420.0,15,1795.0,0.8142857142857143,3.4595238095238097,0.18571428571428572
16_low_latitudes_global_shugar2020_automated.csv,500,shugar2020,72.0,16,56.0,0.3888888888888889,0.3888888888888889,0.6111111111111112
16_low_latitudes_global_song2025_automated.csv,500,song2025,72.0,16,225.0,0.7916666666666666,2.3333333333333335,0.20833333333333334
16_low_latitudes_global_zhang2024_automated.csv,500,zhang2024,72.0,16,81.0,0.3611111111111111,0.7638888888888888,0.6388888888888888
17_southern_andes_global_shugar2020_automated.csv,500,shugar2020,571.0,17,670.0,0.27845884413309985,0.8949211908931699,0.7215411558669002
17_southern_andes_global_song2025_automated.csv,500,song2025,575.0,17,2007.0,0.7182608695652174,2.772173913043478,0.2817391304347826
17_southern_andes_global_zhang2024_automated.csv,500,zhang2024,575.0,17,2552.0,0.6034782608695652,3.8347826086956522,0.39652173913043476
18_new_zealand_global_shugar2020_automated.csv,500,shugar2020,12.0,18,35.0,0.8333333333333334,2.0833333333333335,0.16666666666666666
18_new_zealand_global_song2025_automated.csv,500,song2025,15.0,18,116.0,0.8666666666666667,6.866666666666666,0.13333333333333333
18_new_zealand_global_zhang2024_automated.csv,500,zhang2024,14.0,18,35.0,0.5,2.0,0.5
19_subantarctic_antarctic_islands_global_shugar2020_automated.csv,500,shugar2020,0.0,19,0.0,,,
