rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,notes,contributor
RGI2000-v7.0-G-05-00701,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00702,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00703,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00704,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00705,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00706,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00707,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00708,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00709,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00710,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00711,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00712,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00713,9,1,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,"small lake, some contact",McNabb
RGI2000-v7.0-G-05-00714,9,1,LE07_L1TP_016008_20000806_20200918_02_T1,2000-08-06,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,lake ice?,McNabb
RGI2000-v7.0-G-05-00715,9,2,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-19321,9,0,LE07_L1TP_030005_19990705_20200918_02_T1,1999-07-05,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,snow drift?,McNabb
