rgi_id,term_type,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-08-03217,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03218,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03219,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03220,2,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03221,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03222,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03223,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03224,9,2,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03225,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03226,9,3,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03227,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03228,2,2,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03229,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03230,9,2,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03231,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03232,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03233,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03234,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03235,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03236,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03237,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03238,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03239,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03240,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03241,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03242,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03243,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03244,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03245,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03246,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03247,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03248,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03249,9,0,LE07_L1TP_201017_20000721_20200918_02_T1,2000-07-21,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03250,2,3,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03251,9,0,LE07_L1TP_201016_20000721_20200918_02_T1,2000-07-21,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03252,2,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03253,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03254,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03255,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03256,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03257,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03258,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03259,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03260,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03261,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03262,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03263,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03264,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03265,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03266,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03267,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03268,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03269,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03270,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03271,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03272,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03273,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03274,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03275,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03276,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03277,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03278,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03279,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03280,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03281,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03282,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03283,2,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03284,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03285,2,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03286,2,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03287,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03288,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03289,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03290,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03291,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03292,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03293,2,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03294,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03295,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03296,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03297,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03298,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03299,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03300,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03301,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03302,9,0,LE07_L1TP_201016_20000721_20200918_02_T1,2000-07-21,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03303,9,2,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03304,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03305,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03306,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03307,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03308,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03309,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03310,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03311,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03312,9,3,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03313,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03314,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03315,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03316,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03317,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03318,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03319,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03320,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03321,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
