rgi_id,src_date,area_km2,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,contributor,contributor,contributor
RGI2000-v7.0-G-03-03271,1999-07-08T00:00:00,0.125537998579147,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03272,1999-07-08T00:00:00,20.78340945408323,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03273,1999-07-08T00:00:00,2.502707633735443,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03274,1999-07-08T00:00:00,35.694954196990096,9,3,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03275,1999-07-08T00:00:00,5.487805294498512,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03276,1999-07-08T00:00:00,0.124755417540296,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03277,1999-07-08T00:00:00,0.380512768898187,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03278,1999-07-08T00:00:00,0.165418624973038,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03279,1999-07-08T00:00:00,457.3549752707073,9,1,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03280,1999-07-08T00:00:00,16.521009443769195,9,1,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03281,1999-07-08T00:00:00,0.370551063202504,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03282,1999-07-08T00:00:00,0.909046783202865,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03283,1999-07-08T00:00:00,0.512504317969004,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03284,1999-07-08T00:00:00,0.363050094783146,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03285,1999-07-08T00:00:00,18.299175163293373,9,1,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03286,1999-07-31T00:00:00,1.653400758536101,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03287,1999-07-31T00:00:00,1.394090895843355,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03288,1999-07-31T00:00:00,1.694232777612284,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03289,1999-07-31T00:00:00,7.11795935750297,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03290,1999-07-31T00:00:00,6.549703735361908,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03291,1999-07-31T00:00:00,42.021849034105315,9,2,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03292,1999-07-08T00:00:00,0.629296577410692,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03293,1999-07-31T00:00:00,0.343331127936805,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03294,1999-07-31T00:00:00,40.320720135570745,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03295,1999-07-08T00:00:00,578.6152220216845,9,1,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03296,1999-07-08T00:00:00,362.13552450813546,9,1,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03297,1999-07-08T00:00:00,1048.0239758941796,1,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03298,2001-07-21T00:00:00,4.201870572511627,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03299,2001-07-21T00:00:00,5.706141434005828,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03300,2001-07-21T00:00:00,1.441396929925394,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03301,2001-07-21T00:00:00,18.461515656605407,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03302,2001-07-21T00:00:00,172.35942230974806,9,2,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03303,2001-07-21T00:00:00,243.635305249881,9,2,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03304,2001-07-21T00:00:00,3.488399120006844,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03305,2001-07-21T00:00:00,0.776719386507328,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03306,2001-07-21T00:00:00,23.008063292694192,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03307,2001-07-21T00:00:00,6.662516824894598,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03308,2001-07-21T00:00:00,1.60361744220273,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
