rgi_id,lake_cat,image_id,image_date,inventory_doi,contributor,comments,notes
RGI2000-v7.0-G-05-04771,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04772,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04773,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04774,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04775,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04776,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04777,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04778,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04779,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04780,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04781,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04782,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04783,2,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04784,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04785,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04786,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04787,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04788,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04789,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04790,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04791,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04792,2,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04793,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04794,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04795,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04796,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04797,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04798,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04799,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04800,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04801,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04802,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
